,Country,ISO,variable,value.GGExp,value.GGRev,value.GGExpCh,value.GGRevCh
1,Algeria,DZA,X2000,1178.122,1578.159,,
2,Angola,AGO,X2000,45.484,48.051,,
3,Azerbaijan,AZE,X2000,0.983,1.001,,
4,Bahrain,BHR,X2000,0.787,1.082,,
5,Bolivia,BOL,X2000,15.223,13.287,,
6,Botswana,BWA,X2000,11.536,14.119,,
7,Brunei Darussalam,BRN,X2000,4.298,5.084,,
8,Cameroon,CMR,X2000,1093.742,1209.65,,
9,Chad,TCD,X2000,203.2,135.43,,
10,Chile,CHL,X2000,9670.135,9377.651,,
11,Colombia,COL,X2000,55106.927,48982.811,,
12,"Congo, Republic of",COG,X2000,583.502,609.388,,
13,Dem. Rep. of Congo,COD,X2000,32.7,8.4,,
14,Ecuador,ECU,X2000,4.221,4.4,,
15,Equatorial Guinea,GNQ,X2000,186.337,164.389,,
16,Gabon,GAB,X2000,779.878,1207.598,,
17,Ghana,GHA,X2000,0.806,0.539,,
18,Guinea,GIN,X2000,893,719.8,,
19,Guyana,GUY,X2000,62.471,56.264,,
20,Indonesia,IDN,X2000,231311.551,203045.479,,
21,Iran,IRN,X2000,104703.7,147295.136,,
22,Iraq,IRQ,X2000,,,,
23,Kazakhstan,KAZ,X2000,,568.2,,
24,Kuwait,KWT,X2000,4.23,7.888,,
25,Libya,LBY,X2000,5.415,8.175,,
26,Malaysia,MYS,X2000,99.496,76.004,,
27,Mali,MLI,X2000,407.862,352.282,,
28,Mauritania,MRT,X2000,,63.803,,
29,Mexico,MEX,X2000,1351.317,1157.032,,
30,Mongolia,MNG,X2000,422.65,351.396,,
31,Myanmar,MMR,X2000,591.768,380.907,,
32,Namibia,NAM,X2000,8.233,7.964,,
33,Nigeria,NGA,X2000,1706.562,1986.949,,
34,Norway,NOR,X2000,629.453,858.713,,
35,Oman,OMN,X2000,2.672,3.713,,
36,Papua New Guinea,PNG,X2000,3.071,2.966,,
37,Peru,PER,X2000,38.224,34.503,,
38,Qatar,QAT,X2000,20.293,24.955,,
39,Russia,RUS,X2000,2399.176,2642.381,,
40,Saudi Arabia,SAU,X2000,251.513,295.236,,
41,Sierra Leone,SLE,X2000,317.597,257.534,,
42,Sudan,SDN,X2000,3.499,3.263,,
43,Suriname,SUR,X2000,0.486,0.298,,
44,Syrian Arab Republic,SYR,X2000,259.197,246.311,,
45,Tanzania,TZA,X2000,1220.177,1147.854,,
46,Timor Leste,TLS,X2000,0,0.006,,
47,Trinidad and Tobago ,TTO,X2000,13.576,13.722,,
48,Turkmenistan,TKM,X2000,1.259,1.232,,
49,United Arab Emirates,ARE,X2000,82.407,160.033,,
50,Uzbekistan,UZB,X2000,1272.667,1191.468,,
51,Venezuela,VEN,X2000,22.537,26.081,,
52,Vietnam,VNM,X2000,99751,90749,,
53,Yemen,YEM,X2000,493.826,588.689,,
54,Zambia,ZMB,X2000,2.398,2.528,,
217,Algeria,DZA,X2001,1321.028,1479.104,0.121299831,-0.062766172
218,Angola,AGO,X2001,82.661,90.32,0.817364348,0.879669518
219,Azerbaijan,AZE,X2001,0.992,0.992,0.009155646,-0.008991009
220,Bahrain,BHR,X2001,0.956,0.982,0.214739517,-0.092421442
221,Bolivia,BOL,X2001,17.189,13.52,0.129146686,0.017535937
222,Botswana,BWA,X2001,13.671,12.709,0.185072816,-0.09986543
223,Brunei Darussalam,BRN,X2001,3.945,4.232,-0.082131224,-0.167584579
224,Cameroon,CMR,X2001,1189.866,1240.5,0.087885443,0.025503245
225,Chad,TCD,X2001,220.5,155.48,0.085137795,0.148046962
226,Chile,CHL,X2001,10545.969,10321.365,0.090571021,0.10063437
227,Colombia,COL,X2001,62193.852,55644.643,0.128603161,0.136003465
228,"Congo, Republic of",COG,X2001,501.624,631.827,-0.140321713,0.036822189
229,Dem. Rep. of Congo,COD,X2001,115.3,67.6,,
230,Ecuador,ECU,X2001,4.91,5.194,0.163231462,0.180454545
231,Equatorial Guinea,GNQ,X2001,165.219,348,-0.113332296,1.116929965
232,Gabon,GAB,X2001,1023.987,1173.63,0.313009214,-0.028128566
233,Ghana,GHA,X2001,1.229,0.953,0.524813896,0.768089054
234,Guinea,GIN,X2001,1113.83,868.21,0.247290034,0.206182273
235,Guyana,GUY,X2001,67.665,57.22,0.083142578,0.016991327
236,Indonesia,IDN,X2001,349318.99,317746.293,0.51016665,0.564902083
237,Iran,IRN,X2001,125741.679,133391.592,0.200928706,-0.094392418
238,Iraq,IRQ,X2001,,,,
239,Kazakhstan,KAZ,X2001,,833.9,,0.467617036
240,Kuwait,KWT,X2001,4.594,7.661,0.086052009,-0.02877789
241,Libya,LBY,X2001,7.877,7.891,0.454662973,-0.034740061
242,Malaysia,MYS,X2001,108.379,91.633,0.089279971,0.205633914
243,Mali,MLI,X2001,465.943,394.851,0.142403558,0.120837851
244,Mauritania,MRT,X2001,,70.739,,0.108709622
245,Mexico,MEX,X2001,1438.197,1230.494,0.064292834,0.063491762
246,Mongolia,MNG,X2001,489.73,429.499,0.158712883,0.222264909
247,Myanmar,MMR,X2001,666.97,463.482,0.127080207,0.2167852
248,Namibia,NAM,X2001,9.456,8.772,0.148548524,0.101456554
249,Nigeria,NGA,X2001,2509.965,2247.884,0.470772817,0.131324458
250,Norway,NOR,X2001,679.078,887.734,0.078838293,0.033795925
251,Oman,OMN,X2001,2.841,3.486,0.063248503,-0.061136547
252,Papua New Guinea,PNG,X2001,3.457,3.087,0.125691957,0.040795684
253,Peru,PER,X2001,37.466,33.611,-0.019830473,-0.025852824
254,Qatar,QAT,X2001,20.504,22.755,0.010397674,-0.088158686
255,Russia,RUS,X2001,3015.076,3301.713,0.256713138,0.249521927
256,Saudi Arabia,SAU,X2001,271.859,293.837,0.080894427,-0.004738582
257,Sierra Leone,SLE,X2001,413.71,302.692,0.302625655,0.175347721
258,Sudan,SDN,X2001,4.011,3.7,0.146327522,0.133925835
259,Suriname,SUR,X2001,0.627,0.644,0.290123457,1.161073826
260,Syrian Arab Republic,SYR,X2001,282.736,306.017,0.090815094,0.242400867
261,Tanzania,TZA,X2001,1367.8,1322.038,0.120984906,0.151747522
262,Timor Leste,TLS,X2001,0,0.019,,2.166666667
263,Trinidad and Tobago ,TTO,X2001,16.176,15.258,0.191514437,0.111937035
