Country,ISO,Variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Algeria,DZA,GGExp,1178.122,1321.028,1550.646,1691.354,1891.769,2052.037,2454.387,3114.242,4190.663,4220.957,4439.854,5853.482,7058.173,6092.124,6799.384,7186.061
Angola,AGO,GGExp,45.484,82.661,207.753,457.154,586.399,854.785,1288.353,1908.842,3498.789,2510.197,3034.026,3927.547,4548.766,4888.694,4682.4,3614.189
Azerbaijan,AZE,GGExp,0.983,0.992,1.678,2.038,2.206,2.839,5.037,7.356,11.829,12.028,13.45,17.368,19.782,21.932,22.304,22.194
Bahrain,BHR,GGExp,0.787,0.956,1.15,1.219,1.288,1.497,1.678,1.908,2.286,2.211,2.76,3.003,3.418,3.527,3.845,3.972
Bolivia,BOL,GGExp,15.223,17.189,18.871,19.803,22.52,25.558,27.372,33.635,42.645,43.602,43.43,58.773,67.447,81.418,98.584,94.605
Botswana,BWA,GGExp,11.536,13.671,15.71,16.276,17.383,17.632,19.737,24.822,35.15,39.49,38.417,38.668,40.736,41.73,51.263,54.153
Brunei Darussalam,BRN,GGExp,4.298,3.945,4.803,3.91,4.888,5.107,5.613,5.998,6.146,6.038,6.762,6.922,7.377,7.602,7.343,7.183
Cameroon,CMR,GGExp,1093.742,1189.866,1191.663,1219.119,1331.171,1278.296,1365.968,1528.323,1980.992,1931.276,2066.942,2576.093,2640.734,3199.758,3546.163,3746.617
Chad,TCD,GGExp,203.2,220.5,280.3,348.1,336.778,404.946,542.28,709.295,874.409,1057.776,1288.501,1284.476,1512.111,1463.564,1519.186,1226.387
Chile,CHL,GGExp,9670.135,10545.969,11264.236,11774.611,12605.227,13930.21,15348.976,17509.243,20364.623,23797.395,26499.255,28195.513,30614.297,32498.617,35686.682,39740.874
Colombia,COL,GGExp,55106.927,62193.852,68437.998,75813.234,81313.885,87471.638,108552.222,120816.16,127887.564,148980.258,160177.848,178027.123,187773.255,206555.415,227972.658,235144.374
"Congo, Republic of",COG,GGExp,583.502,501.624,582.535,605.308,656.31,775.762,1123.053,1201.487,1255.619,1117.279,1274.933,1774.4,2525.9,2555.1,2733.6,2748.664
Dem. Rep. of Congo,ZAR,GGExp,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ecuador,ECU,GGExp,4.221,4.91,6.114,6.587,7.47,8.88,9.928,12.554,21.762,20.61,24.123,31.195,35.394,41.607,44.311,40.391
Equatorial Guinea,GNQ,GGExp,186.337,165.219,161.699,254.804,484.924,609.587,954.248,1233.481,1759.331,2827.522,2516.853,2767.018,4023.498,3276.879,2982.019,2786.251
Gabon,GAB,GGExp,779.878,1023.987,952.054,802.44,855.32,1036.152,1122.143,1155.853,1314.592,1296.716,1642.091,2275.218,2497.824,2468.031,2118.482,2043.262
Ghana,GHA,GGExp,0.806,1.229,1.286,1.975,2.69,3.081,4.072,5.299,7.361,8.582,12.008,15.826,23.11,25.955,31.937,34.046
Guinea,GIN,GGExp,893,1113.83,1157.351,1395.299,1464.15,1807.88,2871.41,2287.2,3231.882,5240.25,8049.1,7246.9,10342.15,10785.42,13971.458,16807.875
Guyana,GUY,GGExp,62.471,67.665,68.532,72.539,77.728,97.083,110.215,114.641,120.815,134.188,140.686,159.65,181.379,183.257,216.192,227.293
Indonesia,IDN,GGExp,231311.551,349318.99,335485.778,398067.721,445297.685,526114.278,671708.925,804822.771,1050154.508,1023520.332,1159098.284,1382960.413,1622837.246,1822525.027,1978869.26,2062872.755
Iran,IRN,GGExp,104703.7,125741.679,206265.07,251732.394,297493.48,450083.998,564866.156,617566.698,828825.507,810201.928,917548.274,1189794.916,1039256,1415137.6,1670958.29,1939773.238
Iraq,IRQ,GGExp,#N/A,#N/A,#N/A,#N/A,48683.837,46477.127,48108.374,51406.137,89904.108,76920.414,80344.082,94252.996,109041.145,131242.204,112036.601,103218.262
Kazakhstan,KAZ,GGExp,#N/A,#N/A,775.163,984.892,1289.822,1679.883,2022.2,3045.952,4345.252,3991.72,4902.693,5997.106,6796.054,7130.917,8686.454,9083.547
Kuwait,KWT,GGExp,4.23,4.594,4.852,5.281,5.991,6.635,9.405,9.809,16.009,12.868,14.806,16.619,18.469,18.715,22.042,21.188
Libya,LBY,GGExp,5.415,7.877,10.973,14.475,18.245,17.994,22.493,28.727,43.534,45.947,50.552,23.366,45.978,58.133,44.178,44.816
Malaysia,MYS,GGExp,99.496,108.379,113.29,128.022,133.642,139.711,159.865,180.421,217.105,230.643,221.643,250.477,279.7,289.058,298.175,300.013
Mali,MLI,GGExp,407.862,465.943,540.579,568.99,625.835,712.656,796.302,838.95,828.24,1097.792,1071.602,1258.365,986.591,1307.25,1578.449,1684.498
Mauritania,MRT,GGExp,#N/A,#N/A,#N/A,#N/A,149.569,166.25,199.986,220.941,245.739,227.982,269.005,323.972,429.956,436.742,479.104,477.847
Mexico,MEX,GGExp,1351.317,1438.197,1583.758,1690.459,1826.364,2048.766,2408.422,2657.724,3178.805,3283.374,3569.368,3922.73,4300.1,4522.788,4787.203,4727.128
Mongolia,MNG,GGExp,422.65,489.73,550.481,615.753,752.475,764.597,1054.924,1749.701,2466.774,2336.63,3080.685,4997.04,6492.904,7688.585,8518.469,8562.476
Myanmar,MMR,GGExp,591.768,666.97,853.996,1245.703,1480.696,2064.628,3187.294,4177.072,4451.548,5462.956,6721.967,7207.807,11954.915,13800.719,18166.669,22417.398
Namibia,NAM,GGExp,8.233,9.456,10.658,11.697,12.22,12.906,14.285,15.926,19.67,23.976,27.367,34.574,37.448,45.32,56.349,62.266
