country,iso,year,Change in general government total expenditure,Change in general government revenue
Algeria,DZA,2000,,
Angola,AGO,2000,,
Azerbaijan,AZE,2000,,
Bahrain,BHR,2000,,
Bolivia,BOL,2000,,
Botswana,BWA,2000,,
Brunei Darussalam,BRN,2000,,
Cameroon,CMR,2000,,
Chad,TCD,2000,,
Chile,CHL,2000,,
Colombia,COL,2000,,
"Congo, Republic of",COG,2000,,
Dem. Rep. of Congo,ZAR,2000,,
Ecuador,ECU,2000,,
Equatorial Guinea,GNQ,2000,,
Gabon,GAB,2000,,
Ghana,GHA,2000,,
Guinea,GIN,2000,,
Guyana,GUY,2000,,
Indonesia,IDN,2000,,
Iran,IRN,2000,,
Iraq,IRQ,2000,,
Kazakhstan,KAZ,2000,,
Kuwait,KWT,2000,,
Libya,LBY,2000,,
Malaysia,MYS,2000,,
Mali,MLI,2000,,
Mauritania,MRT,2000,,
Mexico,MEX,2000,,
Mongolia,MNG,2000,,
Myanmar,MMR,2000,,
Namibia,NAM,2000,,
Nigeria,NGA,2000,,
Norway,NOR,2000,,
Oman,OMN,2000,,
Papua New Guinea,PNG,2000,,
Peru,PER,2000,,
Qatar,QAT,2000,,
Russia,RUS,2000,,
Saudi Arabia,SAU,2000,,
Sierra Leone,SLE,2000,,
Sudan,SDN,2000,,
Suriname,SUR,2000,,
Syrian Arab Republic,SYR,2000,,
Tanzania,TZA,2000,,
Timor Leste,TLS,2000,,
Trinidad and Tobago ,TTO,2000,,
Turkmenistan,TKM,2000,,
United Arab Emirates,ARE,2000,,
Uzbekistan,UZB,2000,,
Venezuela,VEN,2000,,
Vietnam,VNM,2000,,
Yemen,YEM,2000,,
Zambia,ZMB,2000,,
Algeria,DZA,2001,0.121299831,-0.062766172
Angola,AGO,2001,0.817364348,0.879669518
Azerbaijan,AZE,2001,0.009155646,-0.008991009
Bahrain,BHR,2001,0.214739517,-0.092421442
Bolivia,BOL,2001,0.129146686,0.017535937
Botswana,BWA,2001,0.185072816,-0.09986543
