country,revenues
Nigeria,44944995000
Norway,44013892000
Indonesia,32949795856
Kazakhstan,20754211560
Azerbaijan,19732689646
Yemen,5081696110
Peru,4358147652
Cameroon,3676246859
Republic of the Congo,3195780380
Chad,1347744000
Mongolia,943183886
Democratic Republic of Congo,875938726
Zambia,757063737
Tanzania,305762430
Mauritania,270018613
Cote dIvoire,245231916
Guinea,218560221
Ghana,212460480
Madagascar,160705175
Guatemala,155800631
Kyrgyz Republic,143976791
Niger,109503726
Liberia,71896113
Mozambique,71555872
Togo,60128720
Burkina Faso,47170416
Central African Republic,20633575
Sierra Leone,7586793
