Report ID,Year,Country,Lookup,Region,Sector,Mining,Gas,Oil,Commodity,Total extractive government receipts (US$),"Total Government Revenue, IMF data.","Total Government Revenue, excluding grants, WB data.",Total GDP (US$ nominal),Total Production Value (US$),Health expenditure (US$),Public spending on education (% of GDP) ,ODA (US$)
Afghanistan2008,2008,Afghanistan,2008_Afghanistan,South Asia,Mining,yes,no,no,Total Mining,89690970,1001321933,814071389,10190534637,86293961.47,..,..,4875070000
Afghanistan2008,2008,Afghanistan,2008_Afghanistan,South Asia,Mining,yes,no,no,Cement,89690970,1001321933,814071389,10190534637,3689195.387,..,..,4875070000
Afghanistan2008,2008,Afghanistan,2008_Afghanistan,South Asia,Mining,yes,no,no,Chromite,89690970,1001321933,814071389,10190534637,1121304.385,..,..,4875070000
Afghanistan2008,2008,Afghanistan,2008_Afghanistan,South Asia,Mining,yes,no,no,Coal,89690970,1001321933,814071389,10190534637,50612301.75,..,..,4875070000
Afghanistan2008,2008,Afghanistan,2008_Afghanistan,South Asia,Mining,yes,no,no,Copper,89690970,1001321933,814071389,10190534637,0,..,..,4875070000
Afghanistan2008,2008,Afghanistan,2008_Afghanistan,South Asia,Mining,yes,no,no,Gypsum,89690970,1001321933,814071389,10190534637,1195698.287,..,..,4875070000
Afghanistan2008,2008,Afghanistan,2008_Afghanistan,South Asia,Mining,yes,no,no,Salt (rock),89690970,1001321933,814071389,10190534637,5281489.066,..,..,4875070000
Afghanistan2008,2008,Afghanistan,2008_Afghanistan,South Asia,Mining,yes,no,no,Talc,89690970,1001321933,814071389,10190534637,24393972.6,..,..,4875070000
Afghanistan2009,2009,Afghanistan,2009_Afghanistan,South Asia,Mining,yes,no,no,Total Mining,7788994,1582845841,1313225253,12486950468,80652289.5,..,..,6235260000
Afghanistan2009,2009,Afghanistan,2009_Afghanistan,South Asia,Mining,yes,no,no,Cement,7788994,1582845841,1313225253,12486950468,3157283.204,..,..,6235260000
Afghanistan2009,2009,Afghanistan,2009_Afghanistan,South Asia,Mining,yes,no,no,Chromite,7788994,1582845841,1313225253,12486950468,1473095.044,..,..,6235260000
Afghanistan2009,2009,Afghanistan,2009_Afghanistan,South Asia,Mining,yes,no,no,Coal,7788994,1582845841,1313225253,12486950468,44895003.94,..,..,6235260000
Afghanistan2009,2009,Afghanistan,2009_Afghanistan,South Asia,Mining,yes,no,no,Copper,7788994,1582845841,1313225253,12486950468,0,..,..,6235260000
Afghanistan2009,2009,Afghanistan,2009_Afghanistan,South Asia,Mining,yes,no,no,Gypsum,7788994,1582845841,1313225253,12486950468,704282.5542,..,..,6235260000
Afghanistan2009,2009,Afghanistan,2009_Afghanistan,South Asia,Mining,yes,no,no,Salt (rock),7788994,1582845841,1313225253,12486950468,6534405.585,..,..,6235260000
Afghanistan2009,2009,Afghanistan,2009_Afghanistan,South Asia,Mining,yes,no,no,Talc,7788994,1582845841,1313225253,12486950468,23888219.18,..,..,6235260000
Afghanistan2010,2010,Afghanistan,2010_Afghanistan,South Asia,Mining,yes,no,no,Total Mining,23383829.47,2347966451,1758812940,15936784437,116777080.8,..,..,6426380000
Afghanistan2010,2010,Afghanistan,2010_Afghanistan,South Asia,Mining,yes,no,no,Cement,23383829.47,2347966451,1758812940,15936784437,3303445.502,..,..,6426380000
Afghanistan2010,2010,Afghanistan,2010_Afghanistan,South Asia,Mining,yes,no,no,Chromite,23383829.47,2347966451,1758812940,15936784437,1304536.412,..,..,6426380000
Afghanistan2010,2010,Afghanistan,2010_Afghanistan,South Asia,Mining,yes,no,no,Coal,23383829.47,2347966451,1758812940,15936784437,74025259.82,..,..,6426380000
Afghanistan2010,2010,Afghanistan,2010_Afghanistan,South Asia,Mining,yes,no,no,Copper,23383829.47,2347966451,1758812940,15936784437,0,..,..,6426380000
Afghanistan2010,2010,Afghanistan,2010_Afghanistan,South Asia,Mining,yes,no,no,Gypsum,23383829.47,2347966451,1758812940,15936784437,1153094.242,..,..,6426380000
Afghanistan2010,2010,Afghanistan,2010_Afghanistan,South Asia,Mining,yes,no,no,Salt (rock),23383829.47,2347966451,1758812940,15936784437,6774306.504,..,..,6426380000
Afghanistan2010,2010,Afghanistan,2010_Afghanistan,South Asia,Mining,yes,no,no,Talc,23383829.47,2347966451,1758812940,15936784437,30216438.36,..,..,6426380000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,"Oil, Gas, Mining",yes,yes,yes,"Total Oil, Gas, Mining",101776402,3385680340,2042530053,17870159082,156067920.4,..,..,6884700000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,"Oil, Gas",no,yes,yes,Total Oil & Gas,101776402,3385680340,2042530053,17870159082,27100818.03,..,..,6884700000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,Gas,no,yes,no,Gas,101776402,3385680340,2042530053,17870159082,27100818.03,..,..,6884700000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,Oil,no,no,yes,Oil,101776402,3385680340,2042530053,17870159082,0,..,..,6884700000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,Mining,yes,no,no,Total Mining,101776402,3385680340,2042530053,17870159082,128967102.4,..,..,6884700000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,Mining,yes,no,no,Cement,101776402,3385680340,2042530053,17870159082,3381628.767,..,..,6884700000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,Mining,yes,no,no,Chromite,101776402,3385680340,2042530053,17870159082,1496538.945,..,..,6884700000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,Mining,yes,no,no,Coal,101776402,3385680340,2042530053,17870159082,84277148.71,..,..,6884700000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,Mining,yes,no,no,Construction stone,101776402,3385680340,2042530053,17870159082,,..,..,6884700000
Afghanistan2011,2011,Afghanistan,2011_Afghanistan,South Asia,Mining,yes,no,no,Copper,101776402,3385680340,2042530053,17870159082,0,..,..,6884700000
