year,country,region,eiti_summary_revenues,revenues_rcvd,revenues_payed,exports,health
2008,Afghanistan,South Asia,89690970.00,89690970.00,89986645.00,,
2009,Afghanistan,South Asia,7788994.00,7788994.00,13964717.00,,4410774000.00
2010,Afghanistan,South Asia,23383829.00,23383829.00,24969536.00,,5975839000.00
2011,Afghanistan,South Asia,101776402.00,101776402.00,101712176.00,,6315776000.00
2009,Albania,Europe and Central Asia,33298711.00,33298711.00,33961855.00,,3533290000.00
2010,Albania,Europe and Central Asia,62819643.00,62819643.00,61621520.00,,3855530000.00
2011,Albania,Europe and Central Asia,87672151.00,87672151.00,87847635.00,,4391290000.00
2012,Albania,Europe and Central Asia,92136624.00,92136623.82,92418128.93,,4101210000.00
2003,Azerbaijan,Europe and Central Asia,622338950.00,622338950.00,263638776.00,239092588.10,3056613000.00
2004,Azerbaijan,Europe and Central Asia,1099837402.00,1099837402.00,645018367.00,299274537.20,4235001000.00
2005,Azerbaijan,Europe and Central Asia,1475500562.00,1468619690.00,157145503.00,394000968.40,8331918000.00
2006,Azerbaijan,Europe and Central Asia,3510790700.00,3510790700.00,1687436394.00,536204026.80,13954470000.00
2007,Azerbaijan,Europe and Central Asia,5563486878.00,5563486878.00,2818365735.00,842545804.00,22516840000.00
2008,Azerbaijan,Europe and Central Asia,19134087707.00,19134087707.00,3822950670.00,1192454912.00,32134200000.00
2009,Azerbaijan,Europe and Central Asia,14160319906.00,14160319906.00,1706355915.00,1428094955.00,22875714000.00
2010,Azerbaijan,Europe and Central Asia,19732689646.00,19732689646.00,1985246700.00,1471023151.00,28589945000.00
2011,Azerbaijan,Europe and Central Asia,23901723060.00,23901723060.00,23895423060.00,1606344213.00,37226526000.00
2012,Azerbaijan,Europe and Central Asia,21826952016.00,21826952016.00,21820452016.00,,36914840000.00
2008,Burkina Faso ,Africa,3746161.00,3819907.00,3534509.00,,983937000.00
2009,Burkina Faso ,Africa,22698095.00,23106501.00,27534867.00,,1053019000.00
2010,Burkina Faso ,Africa,47170416.00,47170416.00,46949862.00,353716794.70,1889094000.00
2011,Burkina Faso ,Africa,236414922.00,236414922.00,238824618.00,356263648.40,2814570660.00
2012,Burkina Faso,Africa,366304044.00,366304044.27,371460985.86,,3289065142.00
2001,Cameroon,Africa,731900795.00,731900795.00,143175130.00,251419335.00,
2002,Cameroon,Africa,338323284.00,338323284.00,49056250.00,,
2003,Cameroon,Africa,753768010.00,753768010.00,120983440.00,449762562.20,
2004,Cameroon,Africa,954798250.00,954798250.00,172493250.00,525305181.50,
