Report ID,Years Covered,Country Name,Region,Commodity,Payments Received by Government from Covered Companies (US$),Payments Made by Covered Companies (US$),Total GDP US$ nominal,Population,Extractive revenues (% GDP),"Revenue, excluding grants (% GDP)","Revenue, excluding grants",Total government revenues (US$),Extractive revenues (%  revenues excluding grants),"Extractive exports (US$), UNCTAD","Total exports (US$), UNCTAD",Extractive exports (% total exports),ODA (US$),Extractive revenues (% ODA),"Health expenditure, public (% of GDP)",Health expenditure (US$),Extractive revenues (% health budget),Public spending on education (% of GDP) ,Public spending on education (US$),Public spending (US$),Extractive revenues (% education budget),TI Corruption Perception Index,Poverty Headcount (%pop) - WB,Life expectancy at birth - WB,Infant mortality - WB,Primary school enrolment - WB,RGI score (2010),RGI score (2013),Voice and Accountability WGI score,Political Stability WGI score,Government Effectiveness WGI score,Regulatory Quality WGI score,Control of Corruption WGI score
Afghanistan2008,2008,Afghanistan,South Asia,Total Mining,89690970,89986645,10190534637,27032197,0.01,0.08,814071389,89690970,0.11,..,..,..,4875070000,0.02,..,..,..,..,..,..,..,12,36.3,58.61,78.5,..,..,..,-1.24,-2.69,-1.48,-1.6,-1.64
Afghanistan2008,2008,Afghanistan,South Asia,Cement,,,10190534637,27032197,0.01,0.08,814071389,89690970,0.11,..,..,..,4875070000,0.02,..,..,..,..,..,..,..,12,36.3,58.61,78.5,..,..,..,-1.24,-2.69,-1.48,-1.6,-1.64
Afghanistan2008,2008,Afghanistan,South Asia,Chromite,,,10190534637,27032197,0.01,0.08,814071389,89690970,0.11,..,..,..,4875070000,0.02,..,..,..,..,..,..,..,12,36.3,58.61,78.5,..,..,..,-1.24,-2.69,-1.48,-1.6,-1.64
Afghanistan2008,2008,Afghanistan,South Asia,Coal,,,10190534637,27032197,0.01,0.08,814071389,89690970,0.11,..,..,..,4875070000,0.02,..,..,..,..,..,..,..,12,36.3,58.61,78.5,..,..,..,-1.24,-2.69,-1.48,-1.6,-1.64
Afghanistan2008,2008,Afghanistan,South Asia,Copper,80174593.17,80192178.61,10190534637,27032197,0.01,0.08,814071389,89690970,0.11,..,..,..,4875070000,0.02,..,..,..,..,..,..,..,12,36.3,58.61,78.5,..,..,..,-1.24,-2.69,-1.48,-1.6,-1.64
Afghanistan2008,2008,Afghanistan,South Asia,Gypsum,,,10190534637,27032197,0.01,0.08,814071389,89690970,0.11,..,..,..,4875070000,0.02,..,..,..,..,..,..,..,12,36.3,58.61,78.5,..,..,..,-1.24,-2.69,-1.48,-1.6,-1.64
Afghanistan2008,2008,Afghanistan,South Asia,Salt (rock),,,10190534637,27032197,0.01,0.08,814071389,89690970,0.11,..,..,..,4875070000,0.02,..,..,..,..,..,..,..,12,36.3,58.61,78.5,..,..,..,-1.24,-2.69,-1.48,-1.6,-1.64
Afghanistan2008,2008,Afghanistan,South Asia,Talc,,,10190534637,27032197,0.01,0.08,814071389,89690970,0.11,..,..,..,4875070000,0.02,..,..,..,..,..,..,..,12,36.3,58.61,78.5,..,..,..,-1.24,-2.69,-1.48,-1.6,-1.64
Afghanistan2009,2009,Afghanistan,South Asia,Total Mining,7788994,13964717,12486950468,27708187,0,0.11,1313225253,7788994,0.01,..,4410774000,..,6235260000,0,..,..,..,..,..,..,..,12,..,59.11,76.9,..,..,..,-1.46,-2.7,-1.5,-1.67,-1.51
Afghanistan2009,2009,Afghanistan,South Asia,Cement,,,12486950468,27708187,0,0.11,1313225253,7788994,0.01,..,4410774000,..,6235260000,0,..,..,..,..,..,..,..,12,..,59.11,76.9,..,..,..,-1.46,-2.7,-1.5,-1.67,-1.51
Afghanistan2009,2009,Afghanistan,South Asia,Chromite,,,12486950468,27708187,0,0.11,1313225253,7788994,0.01,..,4410774000,..,6235260000,0,..,..,..,..,..,..,..,12,..,59.11,76.9,..,..,..,-1.46,-2.7,-1.5,-1.67,-1.51
Afghanistan2009,2009,Afghanistan,South Asia,Coal,,,12486950468,27708187,0,0.11,1313225253,7788994,0.01,..,4410774000,..,6235260000,0,..,..,..,..,..,..,..,12,..,59.11,76.9,..,..,..,-1.46,-2.7,-1.5,-1.67,-1.51
Afghanistan2009,2009,Afghanistan,South Asia,Copper,125043.85,139146.85,12486950468,27708187,0,0.11,1313225253,7788994,0.01,..,4410774000,..,6235260000,0,..,..,..,..,..,..,..,12,..,59.11,76.9,..,..,..,-1.46,-2.7,-1.5,-1.67,-1.51
Afghanistan2009,2009,Afghanistan,South Asia,Gypsum,,,12486950468,27708187,0,0.11,1313225253,7788994,0.01,..,4410774000,..,6235260000,0,..,..,..,..,..,..,..,12,..,59.11,76.9,..,..,..,-1.46,-2.7,-1.5,-1.67,-1.51
Afghanistan2009,2009,Afghanistan,South Asia,Salt (rock),,,12486950468,27708187,0,0.11,1313225253,7788994,0.01,..,4410774000,..,6235260000,0,..,..,..,..,..,..,..,12,..,59.11,76.9,..,..,..,-1.46,-2.7,-1.5,-1.67,-1.51
Afghanistan2009,2009,Afghanistan,South Asia,Talc,,,12486950468,27708187,0,0.11,1313225253,7788994,0.01,..,4410774000,..,6235260000,0,..,..,..,..,..,..,..,12,..,59.11,76.9,..,..,..,-1.46,-2.7,-1.5,-1.67,-1.51
Afghanistan2010,2010,Afghanistan,South Asia,Total Mining,23383829.47,24969535.89,15936784437,28397812,0,0.11,1758812940,23383829.47,0.01,..,5975839000,..,6426380000,0,..,..,..,..,..,..,..,12,..,59.6,75.3,..,..,..,-1.48,-2.55,-1.47,-1.53,-1.62
Afghanistan2010,2010,Afghanistan,South Asia,Cement,,,15936784437,28397812,0,0.11,1758812940,23383829.47,0.01,..,5975839000,..,6426380000,0,..,..,..,..,..,..,..,12,..,59.6,75.3,..,..,..,-1.48,-2.55,-1.47,-1.53,-1.62
Afghanistan2010,2010,Afghanistan,South Asia,Chromite,,,15936784437,28397812,0,0.11,1758812940,23383829.47,0.01,..,5975839000,..,6426380000,0,..,..,..,..,..,..,..,12,..,59.6,75.3,..,..,..,-1.48,-2.55,-1.47,-1.53,-1.62
Afghanistan2010,2010,Afghanistan,South Asia,Coal,,,15936784437,28397812,0,0.11,1758812940,23383829.47,0.01,..,5975839000,..,6426380000,0,..,..,..,..,..,..,..,12,..,59.6,75.3,..,..,..,-1.48,-2.55,-1.47,-1.53,-1.62
Afghanistan2010,2010,Afghanistan,South Asia,Copper,629151.18,2058584.22,15936784437,28397812,0,0.11,1758812940,23383829.47,0.01,..,5975839000,..,6426380000,0,..,..,..,..,..,..,..,12,..,59.6,75.3,..,..,..,-1.48,-2.55,-1.47,-1.53,-1.62
Afghanistan2010,2010,Afghanistan,South Asia,Gypsum,,,15936784437,28397812,0,0.11,1758812940,23383829.47,0.01,..,5975839000,..,6426380000,0,..,..,..,..,..,..,..,12,..,59.6,75.3,..,..,..,-1.48,-2.55,-1.47,-1.53,-1.62
Afghanistan2010,2010,Afghanistan,South Asia,Salt (rock),,,15936784437,28397812,0,0.11,1758812940,23383829.47,0.01,..,5975839000,..,6426380000,0,..,..,..,..,..,..,..,12,..,59.6,75.3,..,..,..,-1.48,-2.55,-1.47,-1.53,-1.62
Afghanistan2010,2010,Afghanistan,South Asia,Talc,,,15936784437,28397812,0,0.11,1758812940,23383829.47,0.01,..,5975839000,..,6426380000,0,..,..,..,..,..,..,..,12,..,59.6,75.3,..,..,..,-1.48,-2.55,-1.47,-1.53,-1.62
Afghanistan2011,2011,Afghanistan,South Asia,"Total Oil, Gas, Mining",101776402,101712176,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Total Oil & Gas,2359935.65,2374092.29,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Gas,1198115.64,1212272.29,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Oil,1161820.01,1161820.01,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Total Mining,99416466.35,99338083.71,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Cement,,,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Chromite,,,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Coal,,,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Construction stone,1705831.11,1193060.91,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Copper,55719496.83,55704544.19,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Gypsum,,,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Marble,358637.16,358145.29,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Salt (rock),,,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Afghanistan2011,2011,Afghanistan,South Asia,Talc,,,17870159082,29105480,0.01,0.11,2042530053,101776402,0.05,..,6315776000,..,6884700000,0.01,..,..,..,..,..,..,..,12,35.8,60.07,73.6,..,..,..,-1.41,-2.48,-1.46,-1.54,-1.55
Albania2009,2009,Albania,Europe and Central Asia,"Total Oil, Mining",33298711.2,33961855.12,12044208086,2884303,0,..,..,33298711.2,..,230772715.1,3533290000,0.07,356960000,0.09,..,..,..,..,..,..,..,33,..,76.8,15.4,..,..,..,0.13,-0.05,-0.24,0.25,-0.49
Albania2009,2009,Albania,Europe and Central Asia,Oil,31300000,31903000,12044208086,2884303,0,..,..,33298711.2,..,230772715.1,3533290000,0.07,356960000,0.09,..,..,..,..,..,..,..,33,..,76.8,15.4,..,..,..,0.13,-0.05,-0.24,0.25,-0.49
Albania2009,2009,Albania,Europe and Central Asia,Total Mining,1998711.2,2058855.12,12044208086,2884303,0,..,..,33298711.2,..,230772715.1,3533290000,0.07,356960000,0.09,..,..,..,..,..,..,..,33,..,76.8,15.4,..,..,..,0.13,-0.05,-0.24,0.25,-0.49
Albania2009,2009,Albania,Europe and Central Asia,Chromite,,,12044208086,2884303,0,..,..,33298711.2,..,230772715.1,3533290000,0.07,356960000,0.09,..,..,..,..,..,..,..,33,..,76.8,15.4,..,..,..,0.13,-0.05,-0.24,0.25,-0.49
Albania2009,2009,Albania,Europe and Central Asia,Copper,,,12044208086,2884303,0,..,..,33298711.2,..,230772715.1,3533290000,0.07,356960000,0.09,..,..,..,..,..,..,..,33,..,76.8,15.4,..,..,..,0.13,-0.05,-0.24,0.25,-0.49
Albania2009,2009,Albania,Europe and Central Asia,o/w Copper ore,,,12044208086,2884303,0,..,..,33298711.2,..,230772715.1,3533290000,0.07,356960000,0.09,..,..,..,..,..,..,..,33,..,76.8,15.4,..,..,..,0.13,-0.05,-0.24,0.25,-0.49
Albania2009,2009,Albania,Europe and Central Asia,o/w Copper content of ore,,,12044208086,2884303,0,..,..,33298711.2,..,230772715.1,3533290000,0.07,356960000,0.09,..,..,..,..,..,..,..,33,..,76.8,15.4,..,..,..,0.13,-0.05,-0.24,0.25,-0.49
Albania2009,2009,Albania,Europe and Central Asia,Nickel,,,12044208086,2884303,0,..,..,33298711.2,..,230772715.1,3533290000,0.07,356960000,0.09,..,..,..,..,..,..,..,33,..,76.8,15.4,..,..,..,0.13,-0.05,-0.24,0.25,-0.49
Albania2009,2009,Albania,Europe and Central Asia,o/w Iron-nickel and nickel-silicate ore,,,12044208086,2884303,0,..,..,33298711.2,..,230772715.1,3533290000,0.07,356960000,0.09,..,..,..,..,..,..,..,33,..,76.8,15.4,..,..,..,0.13,-0.05,-0.24,0.25,-0.49
Albania2009,2009,Albania,Europe and Central Asia,o/w Nickel content of ores,,,12044208086,2884303,0,..,..,33298711.2,..,230772715.1,3533290000,0.07,356960000,0.09,..,..,..,..,..,..,..,33,..,76.8,15.4,..,..,..,0.13,-0.05,-0.24,0.25,-0.49
Albania2010,2010,Albania,Europe and Central Asia,"Total Oil, Mining",62819643,61621520,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2010,2010,Albania,Europe and Central Asia,Oil,56845833,55623141,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2010,2010,Albania,Europe and Central Asia,Total Mining,5973810,5998379,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2010,2010,Albania,Europe and Central Asia,Chromite,,,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2010,2010,Albania,Europe and Central Asia,Copper,,,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2010,2010,Albania,Europe and Central Asia,o/w Copper ore,,,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2010,2010,Albania,Europe and Central Asia,o/w Copper content,,,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2010,2010,Albania,Europe and Central Asia,Limestone,,,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2010,2010,Albania,Europe and Central Asia,Nickel,,,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2010,2010,Albania,Europe and Central Asia,o/w Iron-nickel and nickel-silicate ore,,,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2010,2010,Albania,Europe and Central Asia,o/w Nickel content,,,11926957255,2856673,0.01,..,..,62819643,..,475780592.9,3855530000,0.12,340700000,0.18,..,..,..,..,..,..,..,33,..,76.98,14.8,..,..,..,0.11,-0.19,-0.27,0.23,-0.49
Albania2011,2011,Albania,Europe and Central Asia,Total,87672150.57,87847635.43,12890866743,2829337,0.01,..,..,87672150.57,..,645705290.5,4391290000,0.15,350750000,0.25,..,..,..,..,..,..,..,33,..,77.16,14.2,..,..,..,0.07,-0.29,-0.2,0.24,-0.65
Albania2011,2011,Albania,Europe and Central Asia,Oil,78907738.61,78947148.18,12890866743,2829337,0.01,..,..,87672150.57,..,645705290.5,4391290000,0.15,350750000,0.25,..,..,..,..,..,..,..,33,..,77.16,14.2,..,..,..,0.07,-0.29,-0.2,0.24,-0.65
Albania2011,2011,Albania,Europe and Central Asia,Total Mining,8764411.96,8900487.25,12890866743,2829337,0.01,..,..,87672150.57,..,645705290.5,4391290000,0.15,350750000,0.25,..,..,..,..,..,..,..,33,..,77.16,14.2,..,..,..,0.07,-0.29,-0.2,0.24,-0.65
Albania2011,2011,Albania,Europe and Central Asia,Bitumen,,,12890866743,2829337,0.01,..,..,87672150.57,..,645705290.5,4391290000,0.15,350750000,0.25,..,..,..,..,..,..,..,33,..,77.16,14.2,..,..,..,0.07,-0.29,-0.2,0.24,-0.65
Albania2011,2011,Albania,Europe and Central Asia,Chromite,,,12890866743,2829337,0.01,..,..,87672150.57,..,645705290.5,4391290000,0.15,350750000,0.25,..,..,..,..,..,..,..,33,..,77.16,14.2,..,..,..,0.07,-0.29,-0.2,0.24,-0.65
Albania2011,2011,Albania,Europe and Central Asia,Copper,,,12890866743,2829337,0.01,..,..,87672150.57,..,645705290.5,4391290000,0.15,350750000,0.25,..,..,..,..,..,..,..,33,..,77.16,14.2,..,..,..,0.07,-0.29,-0.2,0.24,-0.65
Albania2011,2011,Albania,Europe and Central Asia,Limestone,,,12890866743,2829337,0.01,..,..,87672150.57,..,645705290.5,4391290000,0.15,350750000,0.25,..,..,..,..,..,..,..,33,..,77.16,14.2,..,..,..,0.07,-0.29,-0.2,0.24,-0.65
Albania2011,2011,Albania,Europe and Central Asia,Nickel,,,12890866743,2829337,0.01,..,..,87672150.57,..,645705290.5,4391290000,0.15,350750000,0.25,..,..,..,..,..,..,..,33,..,77.16,14.2,..,..,..,0.07,-0.29,-0.2,0.24,-0.65
Albania2012,2012,Albania,Europe and Central Asia,Total,92136623.82,92418128.93,12344529628,2801681,0.01,..,..,92136623.82,..,738064576,4101210000,0.18,341620000,0.27,..,..,..,..,..,..,..,33,14.3,77.35,13.8,..,..,..,0.01,-0.16,-0.28,0.17,-0.72
Albania2012,2012,Albania,Europe and Central Asia,Oil,,,12344529628,2801681,0.01,..,..,92136623.82,..,738064576,4101210000,0.18,341620000,0.27,..,..,..,..,..,..,..,33,14.3,77.35,13.8,..,..,..,0.01,-0.16,-0.28,0.17,-0.72
Albania2012,2012,Albania,Europe and Central Asia,Total Mining,,,12344529628,2801681,0.01,..,..,92136623.82,..,738064576,4101210000,0.18,341620000,0.27,..,..,..,..,..,..,..,33,14.3,77.35,13.8,..,..,..,0.01,-0.16,-0.28,0.17,-0.72
