country,year,Resource Revenue,Export Revenue,Health Expenditures
Cameroon,2001,731900794.85,1001772693.43,251419335.05
Cameroon,2002,338323283.56,964276858.97,
Cameroon,2003,753768010.00,1209086079.30,449762562.20
Cameroon,2004,954798250.00,1281647908.78,525305181.51
Cameroon,2005,1188024922.50,1578971206.10,518075283.31
Cameroon,2006,1599006845.62,2378886306.99,530635192.71
Cameroon,2007,1803241787.73,2690916051.00,687784831.96
Cameroon,2008,2362223467.22,593994236.02,677600173.81
Cameroon,2009,3501213151.77,226296094.46,853395338.26
Cameroon,2010,3676246858.78,2036570434.32,821946656.66
Cameroon,2011,1566909552.61,260369548.21,846731402.39
Cameroon,2012,1529320794.40,2445584780.74,820665445.93
