year,country,region,revenues,exports,gdp,oda,health,education
2008,Afghanistan,South Asia,89690970,,10190534637,4875070000,,
2009,Afghanistan,South Asia,7788994,,12486950468,6235260000,,
2010,Afghanistan,South Asia,23383829,,15936784437,6426380000,,
2011,Afghanistan,South Asia,101776402,,17870159082,6884700000,,
2009,Albania,Europe and Central Asia,33298711,230772715,12044208086,356960000,,
2010,Albania,Europe and Central Asia,62819643,475780593,11926957255,340700000,,
2011,Albania,Europe and Central Asia,87672151,645705291,12890866743,350750000,,
2012,Albania,Europe and Central Asia,92136624,738064576,12344529628,341620000,,
2003,Azerbaijan,Europe and Central Asia,622338950,2255926500,7275766111,300700000,239092588,239092588
2004,Azerbaijan,Europe and Central Asia,1099837402,3023784328,8680511918,175760000,299274537,299274537
2005,Azerbaijan,Europe and Central Asia,1475500562,5978567876,13245421881,216510000,394000968,394000968
2006,Azerbaijan,Europe and Central Asia,3510790700,11183800341,20982270733,206390000,536204027,536204027
2007,Azerbaijan,Europe and Central Asia,5563486878,17688499177,33050343783,225210000,842545804,842545804
2008,Azerbaijan,Europe and Central Asia,19134087707,29782230645,48852482960,235100000,1192454912,1192454912
2009,Azerbaijan,Europe and Central Asia,14160319906,19642744327,44291490421,231770000,1428094955,1428094955
2010,Azerbaijan,Europe and Central Asia,19732689646,25052627486,52902703376,159110000,1471023151,1471023151
2011,Azerbaijan,Europe and Central Asia,23901723060,32749741527,65951627200,286410000,1606344213,1606344213
2012,Azerbaijan,Europe and Central Asia,21826952016,30415888397,68730906314,337610000,,
2008,Burkina Faso ,Africa,3746161,2656810,8350710389,1001160000,,
2009,Burkina Faso ,Africa,22698095,5984519,8348156389,1082820000,,
2010,Burkina Faso ,Africa,47170416,27009829,9209288383,1062340000,353716795,353716795
2011,Burkina Faso ,Africa,236414922,36156714,10395757480,995120000,356263648,356263648
2012,Burkina Faso,Africa,366304044,,10726305450,1158540000,,
2001,Cameroon,Africa,731900795,1001772693,9633109257,457760000,251419335,251419335
2002,Cameroon,Africa,338323284,964276859,10879778328,605850000,,
2003,Cameroon,Africa,753768010,1209086079,13621738512,885980000,449762562,449762562
2004,Cameroon,Africa,954798250,1281647909,15775356737,790660000,525305182,525305182
2005,Cameroon,Africa,1188024923,1578971206,16587857509,413930000,518075283,518075283
2006,Cameroon,Africa,1599006846,2378886307,17953066391,1718930000,530635193,530635193
2007,Cameroon,Africa,1803241788,2690916051,20431781120,1926290000,687784832,687784832
2008,Cameroon,Africa,2362223467,593994236,23322256428,548590000,677600174,677600174
2009,Cameroon,Africa,3501213152,226296095,23381142604,648340000,853395338,853395338
2010,Cameroon,Africa,3676246859,2036570434,23622482955,540500000,821946657,821946657
2011,Cameroon,Africa,1566015122,260369548,26587310734,611840000,846731402,846731402
2012,Cameroon,Africa,1529320794,2445584781,26472054176,596240000,820665446,820665446
2006,Central African Republic,Africa,10973707,24795745,1473721521,133660000,20667765,20667765
2007,Central African Republic,Africa,3520132,,1698125680,176920000,22294522,22294522
2008,Central African Republic,Africa,4042179,53678295,1985370255,257280000,25611673,25611673
2009,Central African Republic,Africa,6056424,,1981728179,242030000,25833016,25833016
2010,Central African Republic,Africa,20633575,,1986014759,261010000,23922541,23922541
2007,Chad,Africa,1183293262,,8638711757,359100000,,
2008,Chad,Africa,1908801646,,10351933632,421720000,,
2009,Chad,Africa,614882373,,9253484290,560730000,213916498,213916498
2010,Chad,Africa,1347744000,,10657705072,486040000,211229320,211229320
2011,Chad,Africa,2146562000,,12156380062,460190000,274478905,274478905
2012,Chad,Africa,2109663000,,12887072082,478590000,,
2012,Congo,Africa,1505213145,,,,,
2006,Cote d'Ivoire,Africa,84482680,,,,,
2007,Cote d'Ivoire,Africa,121454480,,,,,
2008,Cote d'Ivoire,Africa,594748911,,,,,
2009,Cote d'Ivoire,Africa,284861429,,,,,
2010,Cote d'Ivoire,Africa,245231916,,,,,
2011,Cote d'Ivoire,Africa,389368836,,,,,
2012,Coted'Ivoire,Africa,615027475,,,,,
2007,Democratic Republic of Congo,Africa,416300000,,16364027647,1356710000,,
2008,Democratic Republic of Congo,Africa,516117440,,19206015305,1765970000,,
2009,Democratic Republic of Congo,Africa,253718210,,18262675199,2356850000,,
2010,Democratic Republic of Congo,Africa,875938726,,21561941369,3486160000,539710486,539710486
2011,Democratic Republic of Congo,Africa,1413126313,,25835398967,5534410000,,
2007,Equatorial Guinea,Africa,6148771542,,10201201022,31360000,,
2008,Equatorial Guinea,Africa,9119117112,,15439740345,32080000,,
2004,Gabon,Africa,775990000,3045186881,7178135606,39870000,,
2005,Gabon,Africa,1716414357,4438780460,8665736618,60430000,,
2006,Gabon,Africa,1944187567,4837571934,9545982814,29050000,,
2004,Ghana,Africa,27021532,,8881419348,1418690000,669266460,669266460
2005,Ghana,Africa,44654643,235346363,10731883141,1150690000,796528952,796528952
2006,Ghana,Africa,66220560,141585340,20410331626,1243240000,1073575279,1073575279
2007,Ghana,Africa,61767543,259426523,24757553102,1165210000,1366582271,1366582271
2008,Ghana,Africa,91193482,463798316,28528014621,1306930000,1642631671,1642631671
2009,Ghana,Africa,111972313,487955243,25978508376,1581820000,1381352628,1381352628
2010,Ghana,Africa,212460480,921218389,32174839713,1692540000,1782679169,1782679169
2011,Ghana,Africa,942698326,7147963275,39564771637,1810220000,3220956190,3220956190
2012,Ghana,Africa,1112429756,5577445217,41740926505,1807910000,,
2013,Ghana,Africa,1269116733,4573317737,48137027487,,,
2010,Guatemala,Latin America and Caribbean,155800631,933400729,41337958252,393520000,1158727773,1158727773
2011,Guatemala,Latin America and Caribbean,224641623,1533501157,47654841113,387910000,1390587326,1390587326
2005,Guinea ,Africa,138153403,636253428,2937072009,198180000,54308224,54308224
2006,Guinea ,Africa,129435000,588747257,2821346684,169560000,,
2007,Guinea ,Africa,171775146,1001761327,4134173271,228020000,,
2008,Guinea ,Africa,211216759,814878503,4515824643,328300000,110112513,110112513
2009,Guinea ,Africa,204355820,,4609923720,214340000,148258835,148258835
2010,Guinea ,Africa,218560221,,4735956476,217700000,174844883,174844883
2011,Guinea ,Africa,975948622,,5067360041,204490000,155204624,155204624
2012,Guinea ,Africa,371466406,,5651088170,339650000,139660428,139660428
2009,Indonesia,East Asia and Pacific,24925055610,44975155041,539580000000,1046530000,19020894895,19020894895
2010,Indonesia,East Asia and Pacific,32949795856,44975155041,539580000000,1046530000,19020894895,19020894895
2011,Indonesia,East Asia and Pacific,44779611925,44975155041,539580000000,1046530000,19020894895,19020894895
2009,Iraq,Middle East and North Africa,41249682457,41369108680,111661000000,2791100000,,
2010,Iraq,Middle East and North Africa,53852645106,,138517000000,2191630000,,
2011,Iraq,Middle East and North Africa,82986002828,,185750000000,1908080000,,
2012,Iraq,Middle East and North Africa,94032633453,,216044000000,1300790000,,
2005,Kazakhastan,Europe and Central Asia,2622996991,23242586750,57123671734,228880000,1293011447,1293011447
2006,Kazakhastan,Europe and Central Asia,10237431640,32150701249,81003864916,174300000,2127793323,2127793323
2007,Kazakhastan,Europe and Central Asia,12635329400,38546313231,104850000000,210820000,2968709211,2968709211
2008,Kazakhastan,Europe and Central Asia,21000131830,57577616356,133442000000,335410000,3455417172,3455417172
2009,Kazakhastan,Europe and Central Asia,12722411270,35331249771,115309000000,297500000,3529275253,3529275253
2010,Kazakhastan,Europe and Central Asia,20754211560,50455901483,148047000000,223930000,,
2011,Kazakhastan,Europe and Central Asia,28779202170,72314640000,188049000000,215510000,,
2012,Kazakhstan,Europe and Central Asia,30672394366,72241491181,203517000000,129640000,,
2013,Kazakhstan,Europe and Central Asia,30773721236,71262762634,231876000000,,,
2004,Kyrgyz Republic,Europe and Central Asia,30473246,187944032,2211535312,261370000,102226672,102226672
2005,Kyrgyz Republic,Europe and Central Asia,29106335,77595350,2459876152,267880000,119890428,119890428
2006,Kyrgyz Republic,Europe and Central Asia,26120301,212081358,2834168889,310550000,157292406,157292406
2007,Kyrgyz Republic,Europe and Central Asia,28210188,268692909,3802566171,274450000,245911954,245911954
2008,Kyrgyz Republic,Europe and Central Asia,72855334,174631077,5139957785,359830000,303935470,303935470
2009,Kyrgyz Republic,Europe and Central Asia,96148291,152850762,4690062255,313360000,292316572,292316572
2010,Kyrgyz Republic,Europe and Central Asia,143976791,343035951,4794357795,380370000,278975530,278975530
2011,Kyrgyz Republic,Europe and Central Asia,246173059,572997094,6197766119,525030000,420866746,420866746
2012,Kyrgyz Republic,Europe and Central Asia,217306922,568644823,6605139933,472910000,,
2008,Liberia,Africa,29450879,,850040459,1250990000,27722114,27722114
2009,Liberia,Africa,35425230,,1155146230,512570000,,
2010,Liberia,Africa,71896113,,1292696476,1417010000,,
2011,Liberia,Africa,102802567,,1537753885,764840000,,
2012,Liberia,Africa,110146657,,1733828405,570970000,48905924,48905924
2007,Madagascar,Africa,48300000,98947622,7342923620,894070000,247447715,247447715
2008,Madagascar,Africa,55300000,118781596,9413002737,842550000,274501045,274501045
2009,Madagascar,Africa,20900000,83611008,8550363829,443960000,270448863,270448863
2010,Madagascar,Africa,160705175,185271079,8729936136,470080000,,
2011,Madagascar,Africa,87349503,272400273,9892702358,443270000,274597675,274597675
2006,Mali,Africa,221333359,37614133,6122644015,865790000,,
2007,Mali,Africa,283774774,41937486,7145394015,1018680000,,
2008,Mali,Africa,281237313,141964765,8737687353,964090000,333506167,333506167
2009,Mali,Africa,380403587,,8964480570,984390000,394291024,394291024
2010,Mali,Africa,346547621,15834529,9422267260,1088620000,405775593,405775593
2011,Mali,Africa,425193487,79993936,10647545670,1280610000,510642449,510642449
2012,Mali,Africa,481528351,95245231,10340794110,1001300000,,
2005,Mauritania,Africa,29636377,,1857835643,188700000,,
2006,Mauritania,Africa,280165030,,2699181755,225610000,68142733,68142733
2007,Mauritania,Africa,175753291,1179950434,2837533270,347230000,,
2008,Mauritania,Africa,231365652,1458904368,3585284792,452160000,135449550,135449550
2009,Mauritania,Africa,191165715,,3027020496,373470000,,
